Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
1/1/2024,"2.167,65","2.167,67","2.167,67","2.167,65",,"0,00%"
1/2/2024,"2.164,27","2.165,96","2.173,64","2.162,94",,"-0,16%"
1/3/2024,"2.163,97","2.164,83","2.171,05","2.162,80",,"-0,01%"
1/4/2024,"2.162,71","2.163,53","2.173,54","2.162,68",,"-0,06%"
1/5/2024,"2.171,42","2.160,47","2.173,30","2.160,10",,"0,40%"
1/8/2024,"2.169,11","2.169,75","2.171,36","2.166,87",,"-0,11%"
1/9/2024,"2.164,18","2.170,52","2.170,52","2.164,97",,"-0,23%"
1/10/2024,"2.170,25","2.163,28","2.172,39","2.162,44",,"0,28%"
1/11/2024,"2.168,09","2.171,93","2.174,38","2.168,77",,"-0,10%"
1/12/2024,"2.168,36","2.169,66","2.174,72","2.168,79",,"0,01%"
1/15/2024,"2.168,15","2.165,70","2.170,40","2.165,63",,"-0,01%"
1/16/2024,"2.166,99","2.166,76","2.172,02","2.165,91",,"-0,05%"
1/17/2024,"2.172,58","2.167,35","2.174,60","2.166,74",,"0,26%"
1/18/2024,"2.169,80","2.174,99","2.175,03","2.170,27",,"-0,13%"
1/19/2024,"2.169,92","2.171,48","2.173,13","2.170,17",,"0,01%"
1/22/2024,"2.172,73","2.170,97","2.173,69","2.169,60",,"0,13%"
1/23/2024,"2.177,82","2.174,13","2.184,97","2.173,48",,"0,23%"
1/24/2024,"2.195,28","2.179,97","2.199,06","2.179,72",,"0,80%"
1/25/2024,"2.206,26","2.196,34","2.210,99","2.192,94",,"0,50%"
1/26/2024,"2.203,11","2.205,57","2.208,11","2.202,27",,"-0,14%"
1/29/2024,"2.200,79","2.203,59","2.204,64","2.201,35",,"-0,11%"
1/30/2024,"2.198,27","2.202,85","2.203,68","2.197,85",,"-0,11%"
1/31/2024,"2.200,69","2.198,17","2.203,57","2.196,88",,"0,11%"
2/1/2024,"2.194,83","2.198,13","2.200,65","2.194,27",,"-0,27%"
2/2/2024,"2.176,42","2.196,44","2.196,54","2.176,77",,"-0,84%"
2/5/2024,"2.180,92","2.175,92","2.185,73","2.175,67",,"0,21%"
2/6/2024,"2.186,52","2.182,74","2.189,90","2.182,30",,"0,26%"
2/7/2024,"2.172,13","2.188,11","2.190,07","2.171,45",,"-0,66%"
2/8/2024,"2.171,74","2.174,43","2.174,51","2.172,45",,"-0,02%"
